Record ID,First author,Setting of data collection,Setting,Number of individuals that were asymptomatic throughout infection,Total number of individuals (denominator),Source
477,"Cheng, HY",Contact tracing,"2. Contact investigation, aggregated",4,22,PubMed
481,"Song, W",Hospital,6. Hospitalised children,8,16,EMBASE
506,"Wong, J",Other,5. Hospitalised adults,16,138,PubMed
521,"Qiu, C",Contact tracing,5. Hospitalised adults,5,104,PubMed
556,"Lu, Y",Hospital,6. Hospitalised children,29,110,PubMed
559,"Kim, SE",Hospital,7. Hospitalised children and adults,10,71,PubMed
585,"Ma, Y",Hospital,7. Hospitalised children and adults,11,47,PubMed
593,"Lombardi, A",Hospital,4. Screening,41,138,MedRxiv
597,"Wu, J",Contact tracing,"2. Contact investigation, aggregated",8,83,PubMed
598,"Rivett, L",Hospital,4. Screening,5,30,PubMed
599,"Hijnen, D",Contact tracing,"2. Contact investigation, aggregated",1,11,PubMed
622,"Treibel, TA",Hospital,4. Screening,12,44,PubMed
637,"Merza, MA",Hospital,7. Hospitalised children and adults,6,15,EMBASE
653,"Bai, K",Hospital,6. Hospitalised children,8,25,PubMed
664,"Chang, MC",Hospital,5. Hospitalised adults,10,139,MedRxiv
665,"Brandstetter, S",Hospital,"2. Contact investigation, aggregated",2,36,PubMed
696,"Pham, TQ",Traveler/evacuee from an affected area,3. Outbreak investigation,89,208,MedRxiv
713,"Böhmer, MM",Contact tracing,3. Outbreak investigation,1,16,PubMed
726,"Alshami, AA",Other,7. Hospitalised children and adults,69,128,MedRxiv
729,"London, V",Hospital,5. Hospitalised adults,22,68,PubMed
735,"Huang, R",Family cluster,1. Contact investigation,1,2,PubMed
745,"Zhang, W3",Hospital,7. Hospitalised children and adults,26,137,MedRxiv
761,"Zhou, R",Hospital,5. Hospitalised adults,9,31,PubMed
763,"Roxby, AC",Other,3. Outbreak investigation,3,6,PubMed
765,"Angelo Vaira, L",Hospital,5. Hospitalised adults,10,345,PubMed
769,"Melgosa, M",Hospital,6. Hospitalised children,3,16,PubMed
778,"Wang, Y2",,7. Hospitalised children and adults,63,279,PubMed
797,"Noh, JY",Hospital,5. Hospitalised adults,53,199,PubMed
818,"Kumar, R",Hospital,5. Hospitalised adults,108,231,MedRxiv
821,"Zhang, W2",Contact tracing,"2. Contact investigation, aggregated",4,12,PubMed
832,"Andrikopoulou, M",Hospital,5. Hospitalised adults,46,158,PubMed
843,"Wu, HP",Hospital,6. Hospitalised children,3,23,EMBASE
849,"Dora, AV",Hospital,3. Outbreak investigation,6,19,PubMed
856,"Choe, PG",Other,7. Hospitalised children and adults,15,113,PubMed
899,"Solbach, W",Other,3. Outbreak investigation,10,97,MedRxiv
908,"Yang, R",Contact tracing,"2. Contact investigation, aggregated",33,78,EMBASE
936,"Kong, W",Hospital,7. Hospitalised children and adults,45,473,PubMed
981,"Sharma, AK",Hospital,7. Hospitalised children and adults,215,234,MedRxiv
1003,"Graham, N",Other,3. Outbreak investigation,46,126,PubMed
